Lake,Year,SurfaceWaterTemp,BottomWaterTemp
Giles,1988,19.875,4.975
Giles,1989,22.3,8.55
Giles,1990,23.13333333,9.233333333
Giles,1991,23.36666667,7.833333333
Giles,1992,21.85,8.4
Giles,1993,23.69238704,9.442355385
Giles,1994,23.6296123,7.874923019
Giles,1995,24.90755771,8.598764957
Giles,1996,22.33857326,7.409785201
Giles,1997,23.15368713,8.898465122
Giles,1998,22.65605798,7.622030074
Giles,1999,24.83984267,8.449484893
Giles,2000,22.86165667,7.936348714
Giles,2001,23.22578969,7.476081692
Giles,2002,24.04937227,8.301941214
Giles,2003,22.24154033,6.23373875
Giles,2004,22.67101396,7.138707843
Giles,2005,24.7463667,5.180736755
Giles,2006,25.46967353,6.0192454
Giles,2007,23.51744048,5.442700776
Giles,2008,23.80381125,5.34830387
Giles,2009,21.92306339,6.176360065
Giles,2010,25.04459667,5.298169
Giles,2011,25.30607783,5.03677695
Giles,2012,24.57968328,5.726296819
Giles,2013,25.26077342,5.013574362
Giles,2014,24.25181532,4.703462857
Giles,2015,24.08684025,4.738179977
Giles,2016,24.4313642,6.469130929
Giles,2017,22.49110388,5.138695784
Giles,2018,25.01068481,5.269803043
Giles,2019,25.10306796,4.982885065
Lacawac,1988,21,4.375
Lacawac,1989,23.23333333,8.433333333
Lacawac,1990,23.4,7.6
Lacawac,1991,24.06666667,7.233333333
Lacawac,1992,22.96666667,6.566666667
Lacawac,1993,24.342815,7.018578583
Lacawac,1994,25.67018769,6.935738667
Lacawac,1995,23.9470946,7.540019571
Lacawac,1996,24.6709156,7.148751619
Lacawac,1997,24.29495372,8.013522958
Lacawac,1998,23.79357379,6.811996697
Lacawac,1999,25.18126549,8.764022773
Lacawac,2000,23.25415048,7.811310286
Lacawac,2001,26.00748677,6.398431684
Lacawac,2002,24.09424625,7.539559667
Lacawac,2003,23.1387929,6.203366394
Lacawac,2004,23.12008229,6.893473655
Lacawac,2005,25.40718,5.22637597
Lacawac,2006,25.92084302,5.734539256
Lacawac,2007,23.23822356,4.862973738
Lacawac,2008,24.63133382,6.037369037
Lacawac,2009,22.15815433,6.639408316
Lacawac,2010,25.17134368,6.205934442
Lacawac,2011,25.49282984,5.851054971
Lacawac,2012,26.00570139,7.748700439
Lacawac,2013,25.18314436,5.346483229
Lacawac,2014,24.55323383,6.22222812
Lacawac,2015,24.70007315,5.436723852
Lacawac,2016,25.1721583,6.722042674
Lacawac,2017,24.36744516,5.676824992
Lacawac,2018,24.93970079,5.739900833
Lacawac,2019,25.51966646,6.013410067
